D,F(D),Sigma(D),F(Sigma(D))
1,0,1,0
2,-5,3,-3
3,-3,1,0
4,-29,6,-25
5,-34,4,-29
6,-25,9,-19
7,-10,3,-3
8,-68,12,-60
9,-19,7,-10
10,-50,15,-40
11,-11,1,0
12,-60,18,-48
13,-63,10,-50
14,-10151,21,-10137
15,-40,6,-25
16,-10116,24,-10100
17,-80,13,-63
18,-48,27,-30
19,-48,4,-29
20,-230,30,-210
21,-10137,16,-10116
22,-128,33,-106
23,-42,9,-19
24,-10100,36,-10076
25,-73,19,-48
26,-105,39,-79
27,-30,3,-3
28,-10233,42,-10205
29,-157,22,-128
30,-210,45,-180
31,-91,12,-60
32,-10509,48,-10477
33,-106,25,-73
34,-135,51,-101
35,-45,7,-10
36,-10076,54,-10040
37,-10270,28,-10233
38,-138,57,-100
39,-79,15,-40
40,-426,60,-386
41,-132,31,-91
42,-10205,63,-10163
43,-43,1,0
44,-257,66,-213
45,-180,34,-135
46,-9844,69,-9798
47,-95,18,-48
48,-10477,72,-10429
49,-10319,37,-10270
50,-154,75,-104
51,-101,10,-50
52,-9729,78,-9677
53,-479,40,-426
54,-10040,81,-9986
55,-10192,21,-10137
56,-8600,84,-8544
57,-100,43,-43
58,-251,87,-193
59,-84,6,-25
60,-386,90,-326
61,-9905,46,-9844
62,-619,93,-557
63,-10163,24,-10100
64,-2788,96,-2724
65,-10384,49,-10319
66,-213,99,-147
67,-130,13,-63
68,-566,102,-498
69,-9798,52,-9729
70,-464,105,-394
71,-101,27,-30
72,-10429,108,-10357
73,-10265,55,-10192
74,-10390,111,-10316
75,-104,4,-29
76,-361,114,-285
77,-328,58,-251
78,-9677,117,-9599
79,-289,30,-210
80,-5824,120,-5744
81,-9986,61,-9905
82,-265,123,-183
83,-10199,16,-10116
84,-8544,126,-8460
85,-2873,64,-2788
86,-10577,129,-10491
87,-193,33,-106
88,-9482,132,-9394
89,-219,67,-130
90,-326,135,-236
91,-110,9,-19
92,-10114,138,-10022
93,-557,70,-464
94,-886,141,-792
95,-10171,36,-10076
96,-2724,144,-2628
97,-10362,73,-10265
98,-10478,147,-10380
99,-147,19,-48
100,-11248,150,-11148
101,-462,76,-361
102,-498,153,-396
103,-182,39,-79
104,-10239,156,-10135
105,-394,79,-289
106,-651,159,-545
107,-110,3,-3
108,-10357,162,-10249
109,-374,82,-265
110,-1258,165,-1148
111,-10316,42,-10205
112,-9480,168,-9368
113,-2986,85,-2873
114,-285,171,-171
115,-243,22,-128
116,-11929,174,-11813
117,-9599,88,-9482
118,-11676,177,-11558
119,-299,45,-180
120,-5744,180,-5624
121,-231,91,-110
122,-10103,183,-9981
123,-183,12,-60
124,-983,186,-859
125,-1011,94,-886
126,-8460,189,-8334
127,-10604,48,-10477
128,-6487,192,-6359
129,-10491,97,-10362
130,-10595,195,-10465
131,-204,25,-73
132,-9394,198,-9262
133,-11381,100,-11248
134,-586,201,-452
135,-236,51,-101
136,-1233,204,-1097
137,-319,103,-182
138,-10022,207,-9884
139,-149,7,-10
140,-875,210,-735
141,-792,106,-651
142,-8145,213,-8003
143,-10183,54,-10040
144,-2628,216,-2484
145,-519,109,-374
146,-10502,219,-10356
147,-10380,28,-10233
148,-2120,222,-1972
149,-9629,112,-9480
150,-11148,225,-10998
151,-251,57,-100
152,-2380,228,-2228
153,-396,115,-243
154,-578,231,-424
155,-195,15,-40
156,-10135,234,-9979
157,-11833,118,-11676
158,-903,237,-745
159,-545,60,-386
160,-7790,240,-7630
161,-392,121,-231
162,-10249,243,-10087
163,-254,31,-91
164,-17493,246,-17329
165,-1148,124,-983
166,-650,249,-484
167,-10330,63,-10163
168,-9368,252,-9200
169,-10773,127,-10604
170,-3149,255,-2979
171,-171,1,0
172,-11082,258,-10910
173,-10768,130,-10595
174,-11813,261,-11639
175,-388,66,-213
176,-10865,264,-10689
177,-11558,133,-11381
178,-508,267,-330
179,-314,34,-135
180,-5624,270,-5444
181,-1414,136,-1233
182,-1238,273,-1056
183,-9981,69,-9798
184,-2873,276,-2689
185,-334,139,-149
186,-859,279,-673
187,-235,18,-48
188,-1438,282,-1250
189,-8334,142,-8145
190,-2665,285,-2475
191,-10620,72,-10429
192,-6359,288,-6167
193,-712,145,-519
194,-10677,291,-10483
195,-10465,37,-10270
196,-11378,294,-11182
197,-2317,148,-2120
198,-9262,297,-9064
199,-303,75,-104
200,-12229,300,-12029
201,-452,151,-251
202,-790,303,-588
203,-253,10,-50
204,-1097,306,-893
