node,h
0,-0.000083585561
1,-0.415086668280
2,-0.152350153817
3,-0.245447341245
4,-0.067381919952
5,-0.052592018503
6,-0.043180861368
7,-0.089105677565
8,-0.031808127806
9,-0.028179253660
10,-0.025411114192
11,-0.054515987343
12,-0.023904009689
13,-0.019578819802
14,-0.017842114672
15,-0.070991893169
16,-0.015924025653
17,-0.014530440753
18,-0.014075923301
19,-0.030768953417
20,-0.012574511976
21,-0.011927846699
22,-0.011712278034
23,-0.025165467990
24,-0.010333967409
25,-0.011442356458
26,-0.009456820510
27,-0.021607434616
28,-0.008781879133
29,-0.008690158698
30,-0.008423304762
31,-0.033015368800
32,-0.007706417655
33,-0.007627162772
34,-0.007259359967
35,-0.016397364189
36,-0.007012884173
37,-0.006803605665
38,-0.008218337594
39,-0.014909895446
40,-0.006169979811
41,-0.006172351738
42,-0.005994777999
43,-0.013340763833
44,-0.005632838189
45,-0.006024266485
46,-0.005448615128
47,-0.021546852342
48,-0.005263995858
49,-0.005011062028
50,-0.005012666418
51,-0.012959650601
52,-0.005136360327
53,-0.004608009474
54,-0.004607252518
55,-0.010565313895
56,-0.004551798338
57,-0.004478663629
58,-0.004278896670
59,-0.009725019559
60,-0.004101162060
61,-0.004105137914
62,-0.004122985323
63,-0.025376701674
64,-0.004553936556
65,-0.003786343820
66,-0.003998840687
67,-0.008611703008
68,-0.004010483940
69,-0.003616669114
70,-0.003585787041
71,-0.008002393954
72,-0.003839751228
73,-0.003485201054
74,-0.003644004572
75,-0.007763482249
76,-0.003248493226
77,-0.004022360503
78,-0.003295136407
79,-0.012772602345
80,-0.003138156042
81,-0.003162579535
82,-0.003017583299
83,-0.007022363780
84,-0.003234975592
85,-0.002988358022
86,-0.002922279602
87,-0.006551211528
88,-0.002833556688
89,-0.002895573365
90,-0.003192514229
91,-0.006652720423
92,-0.002693245093
93,-0.002773467089
94,-0.002890876561
95,-0.010532371554
96,-0.002599368456
97,-0.002820729923
98,-0.002573539117
99,-0.006070833060
100,-0.002658370728
101,-0.002459625154
102,-0.003348128931
103,-0.006354084009
104,-0.002356730038
105,-0.002586821294
106,-0.002407929986
107,-0.005381913019
108,-0.002408379789
109,-0.002271879959
110,-0.002413090281
111,-0.009184518052
112,-0.002181272612
113,-0.002225588278
114,-0.002328012410
115,-0.005008528523
116,-0.002827297157
117,-0.002125598643
118,-0.002271446110
119,-0.004911037749
120,-0.002389950492
121,-0.002143116571
122,-0.002075749306
123,-0.004642544463
124,-0.002095342116
125,-0.002030020074
126,-0.002582841593
127,-0.012419687506
128,-0.001966515391
129,-0.002370151998
130,-0.002077121489
131,-0.004402668979
132,-0.003074825141
133,-0.002028211803
134,-0.001847889649
135,-0.004234027665
136,-0.001893201486
137,-0.002093208274
138,-0.001908535105
139,-0.004079564446
140,-0.001797585763
141,-0.002169622082
142,-0.002130322457
143,-0.007056072684
144,-0.001808137093
145,-0.001878454967
146,-0.001827827369
147,-0.004041231699
148,-0.001906849451
149,-0.001805701356
150,-0.001759894554
151,-0.003810156249
152,-0.001624637888
153,-0.002058427749
154,-0.001705855843
155,-0.004370546696
156,-0.001760183869
157,-0.001591622483
158,-0.001714092596
159,-0.006415053233
160,-0.001619094167
161,-0.001553121742
162,-0.001602594432
163,-0.003542461269
164,-0.001795495224
165,-0.001635577924
166,-0.002206162316
167,-0.003461219981
168,-0.001724942692
169,-0.001680749922
170,-0.001504475364
171,-0.003363868683
172,-0.001820674276
173,-0.001465506324
174,-0.001596110467
175,-0.005767726622
176,-0.001451242222
177,-0.001449693080
178,-0.001685046058
179,-0.003182098393
180,-0.002109178487
181,-0.001594433244
182,-0.001407633181
183,-0.003397919783
184,-0.001864600887
185,-0.001473637943
186,-0.001447932181
187,-0.003074064768
188,-0.001323513787
189,-0.001482715718
190,-0.001369731534
191,-0.008305504285
192,-0.001424245706
193,-0.001313225425
194,-0.001680646311
195,-0.003051323579
196,-0.001449506220
197,-0.001337071194
198,-0.001372838630
199,-0.003004306991
200,-0.001342008254
201,-0.001557135834
202,-0.001323435847
203,-0.002799335875
204,-0.001241805718
205,-0.001633386408
206,-0.001340125494
207,-0.005522262867
208,-0.001285652426
209,-0.001214188704
210,-0.001411707691
211,-0.002843700023
212,-0.001366696445
213,-0.002196920210
214,-0.001260255739
215,-0.002661444673
216,-0.001194606920
217,-0.001263409728
218,-0.001337044765
219,-0.002883312658
220,-0.001287734496
221,-0.001171210868
222,-0.001301121227
223,-0.004529268917
224,-0.001264247304
225,-0.001154774687
226,-0.001290800056
227,-0.002553453771
228,-0.001425051073
229,-0.001158128732
230,-0.001831552451
231,-0.002496075847
232,-0.001170691433
233,-0.001394298351
234,-0.001435482607
235,-0.002464030659
236,-0.001444305533
237,-0.001308744903
238,-0.001112352622
239,-0.004177701968
240,-0.001117679270
241,-0.001161815179
242,-0.001057716564
243,-0.002386618621
244,-0.001402045507
245,-0.001164525971
246,-0.001317702070
247,-0.002436544398
248,-0.001058509700
249,-0.001119999623
250,-0.001156018520
251,-0.002270854586
252,-0.001028775170
253,-0.001296010790
254,-0.001108603566
255,-0.009237768561
256,-0.001030210779
257,-0.000992336042
258,-0.001212634994
259,-0.002598300499
260,-0.001093281317
261,-0.001345650820
262,-0.001021318600
263,-0.002240560413
264,-0.001211605099
265,-0.001504633696
266,-0.000952716608
267,-0.002231757586
268,-0.002458376106
269,-0.001260656939
270,-0.001106153204
271,-0.003675751550
272,-0.001227810945
273,-0.001046495944
274,-0.000949917453
275,-0.002203595988
276,-0.001232400633
277,-0.000922493811
278,-0.000959870560
279,-0.002065085760
280,-0.001100590915
281,-0.002016522009
282,-0.001139736088
283,-0.002205376022
284,-0.000911053388
285,-0.001040176334
286,-0.001084237379
287,-0.003488247821
288,-0.001432389561
289,-0.000977450921
290,-0.000910454261
291,-0.002152298453
292,-0.001058932400
293,-0.000927800663
294,-0.003183789756
295,-0.001975228744
296,-0.000851096686
297,-0.001085976025
