src,dst,kappa,delta,w_raw,w_aug
0,9841,1,0.000012216342,0.584962500721,0.584974717063
0,14762,2,0.000012216342,-0.415037499279,-0.415025282937
1,1,1,0.415037499279,0.584962500721,1.000000000000
1,9842,2,0.415037499279,-0.415037499279,-0.000000000000
2,9844,1,0.152003093445,0.584962500721,0.736965594166
2,4922,2,0.152003093445,-0.415037499279,-0.263034405834
3,4,1,0.093109404391,0.584962500721,0.678071905113
3,2,2,0.093109404391,-0.415037499279,-0.321928094887
4,9847,1,0.067114195859,0.584962500721,0.652076696580
4,14765,2,0.067114195859,-0.415037499279,-0.347923303420
5,7,1,0.052467419894,0.584962500721,0.637429920615
5,9845,2,0.052467419894,-0.415037499279,-0.362570079385
6,9850,1,0.043068721892,0.584962500721,0.628031222613
6,4925,2,0.043068721892,-0.415037499279,-0.371968777387
7,10,1,0.036525876025,0.584962500721,0.621488376746
7,5,2,0.036525876025,-0.415037499279,-0.378511623254
8,9853,1,0.031708859727,0.584962500721,0.616671360448
8,14768,2,0.031708859727,-0.415037499279,-0.383328639552
9,13,1,0.028014376170,0.584962500721,0.612976876891
9,9848,2,0.028014376170,-0.415037499279,-0.387023123109
10,9856,1,0.025090980963,0.584962500721,0.610053481684
10,4928,2,0.025090980963,-0.415037499279,-0.389946518316
11,16,1,0.022720076500,0.584962500721,0.607682577221
11,8,2,0.022720076500,-0.415037499279,-0.392317422779
12,9859,1,0.020758560167,0.584962500721,0.605721060888
12,14771,2,0.020758560167,-0.415037499279,-0.394278939112
13,19,1,0.019108822948,0.584962500721,0.604071323669
13,9851,2,0.019108822948,-0.415037499279,-0.395928676331
14,9862,1,0.017702001733,0.584962500721,0.602664502455
14,4931,2,0.017702001733,-0.415037499279,-0.397335497545
15,22,1,0.016488122789,0.584962500721,0.601450623510
15,11,2,0.016488122789,-0.415037499279,-0.398549376490
16,9865,1,0.015430040570,0.584962500721,0.600392541291
16,14774,2,0.015430040570,-0.415037499279,-0.399607458709
17,25,1,0.014499569695,0.584962500721,0.599462070416
17,9854,2,0.014499569695,-0.415037499279,-0.400537929584
18,9868,1,0.013674936897,0.584962500721,0.598637437618
18,4934,2,0.013674936897,-0.415037499279,-0.401362562382
19,28,1,0.012939055707,0.584962500721,0.597901556429
19,14,2,0.012939055707,-0.415037499279,-0.402098443571
20,9871,1,0.012278329778,0.584962500721,0.597240830500
20,14777,2,0.012278329778,-0.415037499279,-0.402759169500
21,31,1,0.011681805048,0.584962500721,0.596644305769
21,9857,2,0.011681805048,-0.415037499279,-0.403355694231
22,9874,1,0.011140557605,0.584962500721,0.596103058326
22,4937,2,0.011140557605,-0.415037499279,-0.403896941674
23,34,1,0.010647244200,0.584962500721,0.595609744921
23,17,2,0.010647244200,-0.415037499279,-0.404390255079
24,9877,1,0.010195767106,0.584962500721,0.595158267827
24,14780,2,0.010195767106,-0.415037499279,-0.404841732173
25,37,1,0.009781020793,0.584962500721,0.594743521514
25,9860,2,0.009781020793,-0.415037499279,-0.405256478486
26,9880,1,0.009398698002,0.584962500721,0.594361198723
26,4940,2,0.009398698002,-0.415037499279,-0.405638801277
27,40,1,0.009045139603,0.584962500721,0.594007640324
27,20,2,0.009045139603,-0.415037499279,-0.405992359676
28,9883,1,0.008717217101,0.584962500721,0.593679717822
28,14783,2,0.008717217101,-0.415037499279,-0.406320282178
